"","Group.1","Group.2","x"
"207","Saudi Arabia",1996,79.5497252747253
"208","Senegal",1996,75.7393442622951
"209","Serbia-Montenegro",1996,49.3398907103825
"210","Sierra Leone",1996,81.3505882352941
"211","Singapore",1996,81.6371584699453
"212","Slovakia",1996,48.3647540983607
"213","South Africa",1996,60.5806010928962
"214","South Korea",1996,51.6341530054645
"215","Spain",1996,59.1214025500911
"216","Sri Lanka",1996,81.1836206896552
"217","Suriname",1996,79.402786377709
"218","Sweden",1996,43.3333333333333
"219","Switzerland",1996,48.236803652968
"220","Syria",1996,63.3265027322404
"221","Taiwan",1996,73.3994535519126
"222","Tajikistan",1996,59.4705882352941
"223","Tanzania",1996,77.8445714285714
"224","Thailand",1996,84.322131147541
"225","The Netherlands",1996,47.4489071038251
"226","Togo",1996,81.5189285714286
"227","Tunisia",1996,65.7163934426229
"228","Turkey",1996,54.1449453551913
"229","Turkmenistan",1996,61.5032876712329
"230","Uganda",1996,71.290977443609
"231","Ukraine",1996,45.231693989071
"232","United Arab Emirates",1996,81.8428961748634
"233","United Kingdom",1996,51.7941176470588
"234","Uruguay",1996,60.1887978142077
"235","US",1996,54.7621788623547
"236","Uzbekistan",1996,57.1819672131148
"237","Venezuela",1996,80.39043715847
"238","Vietnam",1996,74.3243169398907
"239","Yugoslavia",1996,51.7948087431694
"240","Zambia",1996,72.1987012987013
"241","Albania",1997,71.9347826086957
"242","Algeria",1997,64.926301369863
"243","Argentina",1997,63.1438356164384
"244","Australia",1997,62.1517808219178
"245","Austria",1997,49.6827397260274
"246","Bahamas",1997,77.236914600551
"247","Bahrain",1997,78.7972602739726
"248","Bangladesh",1997,77.1548192771084
"249","Barbados",1997,80.78
"250","Belarus",1997,42.9709589041096
"251","Belgium",1997,51.132602739726
"252","Belize",1997,81.8588397790055
"253","Benin",1997,80.9061452513967
"254","Bermuda",1997,71.2518828451883
"255","Bolivia",1997,45.0454794520548
"256","Brazil",1997,71.5549076773567
"257","Bulgaria",1997,48.78
"258","Burundi",1997,78.4339130434783
"259","Canada",1997,41.9945205479452
"260","Central African Republic",1997,78.8327868852459
"261","China",1997,60.5556976097832
"262","Colombia",1997,56.2315068493151
"263","Congo",1997,78.5247058823529
"264","Costa Rica",1997,73.2906336088154
"265","Croatia",1997,51.8213888888889
"266","Cuba",1997,77.2272997032641
"267","Cyprus",1997,63.4246376811594
"268","Czech Republic",1997,46.2369863013699
"269","Denmark",1997,47.0786301369863
"270","Dominican Republic",1997,79.4055248618784
"271","Egypt",1997,70.7665753424658
"272","Equador",1997,69.0768667642753
"273","Ethiopia",1997,62.8754658385093
"274","Finland",1997,42.0753424657534
"275","France",1997,56.8746575342466
"276","Gabon",1997,80.5279411764706
"277","Gambia",1997,79.756
"278","Georgia",1997,55.5054794520548
"279","Germany",1997,49.1730478589421
"280","Greece",1997,63.9353424657534
"281","Guatemala",1997,67.5356164383562
"282","Guinea",1997,82.5442857142857
"283","Guinea-Bissau",1997,83.4097014925373
"284","Guyana",1997,80.7
"285","Haiti",1997,87.4314285714286
"286","Honduras",1997,72.0636363636364
"287","Hong Kong",1997,75.2531506849315
"288","Hungary",1997,50.3860273972603
"289","Iceland",1997,41.3682191780822
"290","India",1997,79.5892465753425
"291","Indonesia",1997,82.5851851851852
"292","Ireland",1997,50.0895890410959
"293","Israel",1997,68.4775
"294","Italy",1997,57.5854794520548
"295","Ivory Coast",1997,80.2846368715084
"296","Japan",1997,55.9392694063927
"297","Jordan",1997,62.6128767123288
"298","Kazakhstan",1997,50.0794520547945
"299","Kenya",1997,66.8688888888889
"300","Kuwait",1997,79.1225895316804
"301","Kyrgyzstan",1997,28.9935483870968
"302","Laos",1997,81.5381615598886
"303","Latvia",1997,45.501095890411
"304","Lebanon",1997,68.6424657534247
"305","Macedonia",1997,54.9490410958904
"306","Madagascar",1997,66.8654178674352
"307","Malawi",1997,68.1766283524904
"308","Malaysia",1997,81.9719008264463
"309","Mauritania",1997,79.4261627906977
"310","Mexico",1997,68.4449602122016
"311","Mongolia",1997,33.2121546961326
"312","Morocco",1997,64.5887671232877
"313","Mozambique",1997,73.9665644171779
"314","Myanmar (Burma)",1997,81.7553008595988
"315","Namibia",1997,67.5840782122905
"316","Nepal",1997,58.1545454545455
"317","New Zealand",1997,58.7032876712329
"318","Nicaragua",1997,81.9104109589041
"319","Nigeria",1997,85.8558139534884
"320","North Korea",1997,51.5693150684932
"321","Norway",1997,42.5383561643836
"322","Pakistan",1997,74.1342579750347
"323","Panama",1997,81.8528767123288
"324","Peru",1997,71.9309589041096
"325","Philippines",1997,81.7854794520548
"326","Poland",1997,46.2545205479452
"327","Portugal",1997,64.8002747252747
"328","Qatar",1997,80.6922865013774
"329","Romania",1997,50.3465753424658
"330","Russia",1997,47.4231506849315
"331","Saudi Arabia",1997,78.4115068493151
"332","Senegal",1997,76.7802197802198
"333","Serbia-Montenegro",1997,49.0260273972603
"334","Sierra Leone",1997,82.4133333333333
"335","Singapore",1997,82.9608219178082
"336","Slovakia",1997,50.1002739726027
"337","South Africa",1997,61.7515068493151
"338","South Korea",1997,52.6024657534247
"339","Spain",1997,60.8254794520548
"340","Sri Lanka",1997,81.5313653136531
"341","Suriname",1997,78.9055970149254
"342","Sweden",1997,45.3082191780822
"343","Switzerland",1997,50.2510054844607
"344","Syria",1997,61.6703296703297
"345","Taiwan",1997,73.1476712328767
"346","Tajikistan",1997,67.0824242424242
"347","Tanzania",1997,78.3838709677419
"348","Thailand",1997,85.9893150684932
"349","The Netherlands",1997,50.4882191780822
"350","Togo",1997,80.9011406844106
"351","Tunisia",1997,67.0915068493151
"352","Turkey",1997,52.8097260273973
"353","Turkmenistan",1997,63.0383561643836
"354","Uganda",1997,72.6489361702128
"355","Ukraine",1997,45.7986187845304
"356","United Arab Emirates",1997,80.8182191780822
"357","United Kingdom",1997,52.6737997256516
"358","Uruguay",1997,60.92
"359","US",1997,55.3845399698341
"360","Uzbekistan",1997,60.7642441860465
"361","Venezuela",1997,80.1739726027397
"362","Vietnam",1997,75.9180821917808
"363","Yugoslavia",1997,52.2243835616438
"364","Zambia",1997,72.8860759493671
"365","Albania",1998,61.6125
"366","Algeria",1998,63.6196675900277
"367","Argentina",1998,61.7611111111111
"368","Australia",1998,62.2008459214502
"369","Austria",1998,51.3379501385042
"370","Bahamas",1998,78.0818696883853
"371","Bahrain",1998,82.2008310249307
"372","Bangladesh",1998,79.2870588235294
"373","Barbados",1998,81.5352777777778
"374","Belarus",1998,44.4422969187675
"375","Belgium",1998,51.2983379501385
"376","Belize",1998,81.9583815028902
"377","Benin",1998,82.2974545454545
"378","Bermuda",1998,72.7147222222222
"379","Bolivia",1998,46.9454293628809
"380","Brazil",1998,72.7033985581874
"381","Bulgaria",1998,50.7371191135734
"382","Burundi",1998,82.4
"383","Canada",1998,45.2618559556787
"384","Central African Republic",1998,79.2115894039735
"385","China",1998,61.8005543237251
"386","Colombia",1998,57.3530259365994
"387","Congo",1998,79.2708920187793
"388","Costa Rica",1998,73.7505555555556
"389","Croatia",1998,52.3502808988764
"390","Cuba",1998,76.641348973607
"391","Cyprus",1998,71.3166666666667
"392","Czech Republic",1998,47.7797783933518
"393","Denmark",1998,46.6745152354571
"394","Dominican Republic",1998,79.52
"395","Egypt",1998,72.6399441340782
"396","Equador",1998,68.5696148359486
"397","Ethiopia",1998,62.4079545454545
"398","Finland",1998,41.2506925207756
"399","France",1998,55.4737430167598
"400","Gabon",1998,80.535632183908
"401","Gambia",1998,79.8095394736842
"402","Georgia",1998,58.1728531855956
"403","Germany",1998,50.4875299760192
"404","Greece",1998,65.5019337016575
"405","Guatemala",1998,67.8869565217391
"406","Guinea",1998,83.6272727272727
"407","Guinea-Bissau",1998,84.3
"408","Guyana",1998,81.9
"409","Honduras",1998,72.9128491620112
"410","Hong Kong",1998,76.2457063711911
"411","Hungary",1998,51.5359116022099
"412","Iceland",1998,40.3659279778393
"413","India",1998,80.5476752255378
"414","Indonesia",1998,83.1012
"415","Ireland",1998,49.8692520775623
"416","Israel",1998,71.0954268292683
"417","Italy",1998,57.4134349030471
"418","Ivory Coast",1998,81.1135734072022
"419","Japan",1998,56.5232044198895
"420","Jordan",1998,65.4631578947368
"421","Kazakhstan",1998,48.8293628808864
"422","Kenya",1998,65.998406374502
"423","Kuwait",1998,81.0578947368421
